from	statement	to	shortcut
140	Glumes much longer than lemma and with long awns	Perotis	
140	glumes usually shorter than lemma and if awned only slightly so	141	
141	Lemma terete or dorsally compressed	142	
141	Lemma laterally compressed	149	
142	Lemma with a 3-branched awn (very rarely 1-branched)	143	
142	Lemma with a single undivided awn	144	
143	Awns glabrous	Aristida	
143	Awns plumose	Stipagrostis	
144	Awn ± geniculate; spikelet base (callus) pointed, often long and pungent	145	
144	Awn ± straight; spikelet base (callus) short and blunt	148	
145	Lemma margins usually enclosing the palea; callus pungent; awn well developed and with a strongly-twisted column at maturity	146	
145	Lemma margins not completely enclosing the palea; callus blunt; awns not as robust as above and the column only weakly developed at maturity	147	
146	Hummock-forming perennial; awn almost circular in transverse section	Monodia	
146	Annuals or perennials, not usually hummock-forming; awn flattened in transverse section	Austrostipa	
147	Lemma apex and lower part of awn with hairs obscuring the base of the awn	Jarava	
147	Lemma apex glabrous or slightly hairy, the hairs not obscuring the base of the awn	Amelichloa	
148	Lemma smooth, with a deciduous awn	Piptatherum	
148	Lemma strongly scabrous, with a more or less persistent awn	Nassella	
149	Lemmas coriaceous to indurated	150	
149	Lemmas membranous to cartilaginous	155	
150	Lemma awns non-geniculate	151	
150	Lemma awns geniculate	152	
151	Lemma with a 3-branched awn (very rarely 1-branched); spikelets with one floret	Aristida	
151	Lemma with a single awn; spikelets with 2 florets (very rarely 1)	Eriachne	
152	Lemma 1 awned and with an apical crown	153	
152	Lemma 3-5 awned and without an apical crown	154	
153	Awn at least 15 mm long; palea shorter than lemma, the lemma margins enclosing the palea	Nassella	
153	Awn less than 10 mm long; palea slightly longer than lemma, the lemma margins exposing the palea	Piptochaetium	
154	Lemma with 5 awns	Pentapogon	
154	Lemma with 3 awns	Anisopogon	
155	Glumes similar in texture to and shorter than lemmas; ligule hairy to some degree	156	
155	Glumes firmer in texture to and as long as or longer than lemmas; ligule an unfringed membrane	157	
156	Panicle spike-like, subtended by an inflated sheath	Crypsis	
156	Panicle open to contracted, without an inflated sheath	Sporobolus	
157	Spikelets falling entire	158	
157	Spikelets disarticulating above the glumes	160	
158	Glumes blunt, ±united	Alopecurus	
158	Glumes acute or awned, distinctly separate	159	
159	Lemma 3-nerved	Garnotia	
159	Lemma 5-nerved	Polypogon	
160	Glumes swollen at base	Gastridium	
160	Glumes not swollen at base	161	
161	Glumes silky-woolly, much longer than lemma	Lagurus	
161	Glumes not silky-woolly, equal to or slightly longer than lemmas	162	
162	Spikelets at least 9 mm long	Ammophila	
162	Spikelets up to 7 mm long	163	
163	Glumes terminating abruptly, shortly awned	164	
163	Glumes obtuse or acute, not or scarcely awned	165	
164	Lemmas awned; inflorescence a contracted panicle	Polypogon	
164	Lemmas not awned; inflorescence a tight spike-like panicle	Phleum	
165	Glumes with regularly arranged hairs on keel	Echinopogon	
165	Glumes smooth to rough on keel, without hairs	166	
166	Lemma awns more than twice as long as lemma	167	
166	Lemma awns, if present, less than twice as long as lemma	168	
167	Annuals	Apera	
167	Perennials	Dichelachne	
168	Lemmas decidedly firmer than the glumes	Deyeuxia	
168	Lemmas less firm than the glumes	169	
169	Glumes at least 5.5 mm long	Calamagrostis	
169	Glumes less than 5 mm long	170	
170	Inflorescence axis persistent; rachilla extension less than 20% of lemma length	Agrostis	
170	Inflorescence often detaching as a diaspore; rachilla extension 30-100% of lemma length	Lachnagrostis	
171	Spikelets breaking up above the glumes	172	
171	Spikelets falling entire, breaking below the glumes	173	
172	Glumes very unequal; spikelets compressed laterally	Arundinella	
172	Glumes ±equal; spikelets compressed dorsiventrally	Isachne	
173	Spikelets often dissimilar and usually paired, with one sessile and the other pedicelled (occasionally both pedicelled, but unequally, or in 3's with 2 sessile and 1 pedicelled) or rarely with the pedicelled spikelet reduced to the pedicel; upper lemma of sessile spikelet usually geniculately awned; glumes firm in texture	174	
173	Spikelets all alike and usually solitary, rarely paired; upper lemma not geniculately awned; glumes usually membranous	210	
174	 Spikelets similar in shape and size, development of awns and sex; if different pedicelled spikelets awned and sessile unawned; pedicels and raceme joints slender	175	
174	Spiklets different in shape and size, development of awns and sex; if similar, pedicels and joints thickened	183	
175	Paired spikelets unequally pedicelled	176	
175	Paired spikelets with at least one sessile	178	
176	Spikelets awnless	Imperata	
176	Spikelets awned from apex of the upper lemma	177	
177	Inflorescence a panicle, the racemes at least 10 cm long	Miscanthus	
177	Inflorescence of subdigitate racemes up to 7 cm long	Pseudopogonatherum	
178	Inflorescence a much branched panicle	Saccharum	
178	Inflorescence a solitary raceme, or a digitate or subdigitate cluster of racemes	179	
179	Spikelets in 3s, with 2 sessile and 1 pedicelled	Polytrias	
179	Spikelets in pairs (3s at apex), with 1 sessile and 1 pedicelled	180	
180	Sessile spikelets male; pedicelled spikelets female	Germainia	
180	Sessile and pedicelled spikelets of the same sex	181	
181	Lower glume convex on back, not 2-keeled	Pogonatherum	
181	Lower glume flat or grooved on back,2-keeled	182	
182	Tufted grass with silky hairs on racemes	Eulalia	
182	Creeping grass with no hairs on racemes	Leptatherum	
183	Rachis joints and pedicels thick, ± contiguous or fused together, forming cavities into which the spikelets are sunk	184	
183	Rachis joints and pedicels slender, or if thickened upwards, not forming cavities	192	
184	Sessile spikelet awned	185	
184	Sessile spikelet awnless	187	
185	Pedicelled spikelets reduced to naked pedicels	Thelepogon	
185	Pedicelled spikelets developed	186	
186	Pedicels ± flat	Sehima	
186	Pedicels swollen	Ischaemum	
187	Lower glume of sessile spikelet 2-toothed	Elionurus	
187	Lower glume of sessile spikelet not 2-toothed	188	
188	Spikelets in opposite rows on axis 	Ophiuros	
188	Spikelets on one side of axis	189	
189	Spikelets of each pair similar, both bisexual; rachis not fragmenting	Hemarthria	
189	Spikelets of each pair dissimilar, pedicelled male or sterile or spikelets borne singly; rachis fragmenting readily	190	
190	Lower floret of sessile spikelet male	Rottboellia	
190	Lower floret of sessile spikelet sterile	191	
191	Lower glume of sessile spikelet with a row of marginal spines	Eremochloa	
191	Lower glume of sessile spikelet without marginal spines	Mnesithea	
192	Inflorescence with spathes, spatheoles or spathe-like sheaths enclosing or subtending inflorescence	193	
192	Inflorescences  espatheate	201	
193	Raceme 1 jointed, reduced to 3 spikelets	194	
193	Racemes with several joints, with more than 3 spikelets	195	
194	Racemes in tight clusters; lemmas mucronate or shortly awned	Apluda	
194	Racemes loose and pedunculate; lemmas with long awns	Clausospicula	
195	Fertile spikelets ±compressed, the lower glume distinctly 2-keeled for most of its length	196	
195	Fertile spikelets ±terete, the lower glume 2-keeled only at the tip if at all	199	
196	Lower part of awn as wide as the lemma from which it arises	Spathia	
196	Lower part of awn narrower than the lemma from which it arises	197	
197	Raceme bases terete	Andropogon	
197	Raceme bases flattened	198	
198	Racemes paired; leaves aromatic	Cymbopogon	
198	Racemes solitary; leaves not aromatic	Schizachyrium	
199	Fertile spikelets not within an involucre of male or barren spikelets	Hyparrhenia	
199	Fertile spikelets within an involucre of male or barren spikelets	200	
200	Fertile spikelets falling with involucre or whole raceme falling as one unit; callus blunt	Iseilema	
200	Fertile spikelets falling separately from involucres; callus pungent	Themeda	
201	Rachis joints and pedicels with a translucent mid-line between thickened margins	202	
201	Rachis joints and pedicels without a translucent mid-line	203	
202	Inflorescence more than once-branched	Capillipedium	
202	Inflorescence an arrangement of racemes on a central axis	Bothriochloa	
203	Inflorescence of solitary, paired or subdigitate racemes	204	
203	Inflorescence a panicle	206	
204	Creeping plant with ovate leaves	Arthraxon	
204	Erect plant with linear leaves	205	
205	Fertile spikelet ±cylindrical in cross-section; callus pungent	Heteropogon	
205	Fertile spikelet ±compressed; callus not pungent	Dichanthium	
206	Spikelets laterally compressed	Chrysopogon	
206	Spikelets dorsally compressed or ±cylindrical	207	
207	Pedicelled spikelet reduced to pedicel; panicle axes not terminating in spikelets	Sorghastrum	
207	Pedicelled spikelet developed, rarely reduced or suppressed but then panicle axes terminating in spikelets	208	
208	Pedicelled spikelets reduced to narrow, linear glumes; culm nodes glabrous or pubescent, not bearded	Vacoparis	
208	Pedicelled spikelets usually well developed, rarely greatly reduced or absent, but then culm nodes bearded with stiff hairs	209	
209	Lemma awns of sessile spikelet absent or 1-1.5 cm long if present	Sorghum	
209	Lemma awns of sessile spikelet 2-9 cm long	Sarga	
210	Inflorescence a spike or spike-like raceme or digitate pair of racemes; glumes as long as or longer than the florets	211	
210	Inflorescence otherwise or if a spike or raceme lower glume shorter than the florets	216	
211	Inflorescence of paired racemes (with rarely a third raceme)	Dimeria	
211	Inflorescence a single spike or raceme	212	
212	Inflorescence a spike	Thaumastochloa	
212	Inflorescence single raceme	213	
213	Spikelets with distinct bristles from confluent tubercles	Thyridolepis	
213	Spikelets with indistinct bristles from single tubercles, sometimes densely hairy	214	
214	Plant shortly rhizomatous	Neurachne	
214	Plant stoloniferous	215	
215	Annuals	Thedachloa	
215	Perennials	Paraneurachne	
216	Spikelets with awns arising from between apical lobes of upper glume and lower lemma	Melinis	
216	Spikelets awnless or with awn arising terminally from lemmas or glumes	217	
217	Spikelets in bunches subtended by bracts	Xerochloa	
217	Spikelets not in bunches subtended by bracts	218	
218	Terminal spikelets opening normally; axillary spikelets cleistogamous	219	
218	All spikelets opening normally	221	
219	Cleistogamous  spikelets enclosed in semi-woody to woody leaf sheath	Calyptochloa	
219	Cleistogamous spikelets not enclosed as above	220	
220	Lower lemma of cleistogamous spikelets woody, >0.05 mm thick	Cleistochloa	
220	Lower lemma of cleistogamous spikelets cartilaginous,< 0.05 mm thick	Dimorphochloa	
221	Fertile lemma densely silky hairy	Entolasia	
221	Fertile lemma not or indistinctly hairy	222	
222	Inflorescence with broad, flattened axis with spikelets on one or both sides	223	
222	Inflorescence otherwise	224	
223	Spikelets closely spaced on one side of inflorescence axis	Stenotaphrum	
223	Spikelets in distinct clusters on both sides of inflorescence axis	Uranthoecium	
224	Inflorescence branches ending in bristle-like appendages or spikelets subtended by bristles	225	
224	Inflorescence branches ending in spikelets which are not subtended by bristles	232	
225	Spikelets falling at maturity without any bristles or spines attached	226	
225	Spikelets falling at maturity with bristles or spines attached	229	
226	Spikelets subtended by solitary bristles or an involucre of bristles	Setaria	
226	Spikelets in racemes terminating in bristle-like appendages	227	
227	Lower palea with wings clasping margin of upper floret	Holcolemma	
227	Lower palea not winged, not clasping upper floret	228	
228	Upper lemma covered with wrinkles, as long as or longer than upper glume	Paspalidium	
228	Upper lemma smooth, shorter than upper glume	Pseudoraphis	
229	Spikelets completely surrounded by a ring of spines or bristles	Cenchrus	
229	Spikelets not surrounded by spines or bristles	230	
230	Lower glume up to 1/3 spikelet length	Chamaeraphis	
230	Lower glume more than 1/3 spikeletlength	231	
231	Primary inflorescence branch producing simple unbranched bristles, each accompanied by a spikelet; rachilla between the glumes not distinct; pedicels less than 0.5 mm long	Paractaenum	
231	Primary inflorescence branch producing 2–3 spikelets with each spikelet subtended by branched bristles; rachilla between the glumes distinct; pedicels 1.2–3.4 mm long	Plagiosetum	
232	Upper glume and lower lemma with hooked hairs	Ancistrachne	
232	Upper glume and lower lemma without hooked hairs	233	
233	Spikelet with a bead-like swelling at base	Eriochloa	
233	Spikelet without a bead-like swelling at base	234	
234	Upper lemma with a shallow excavation and tuft of wool at the tip	Lasiacis	
234	Upper lemma rarely excavated and then not woolly	235	
235	Fertile lemma less firm or similar in texture to glumes	236	
235	Fertile lemma decidedly firmer than the glumes	243	
236	Lower glume 2/3 spikelet length	237	
236	Lower glume to 1/2 spikelet length or absent	238	
237	Inflorescence branches stiff and spreading; palea notched with a central depression	Walwhalleya	
237	Inflorescence consisting of only a few spikelets, with branches not stiff and spreading; palea apex not notched	Alexfloydia	
238	Upper glume mucronate to shortly awned	Alloteropsis	
238	Upper glume obtuse to acuminate, not awned or mucronate	239	
239	Palea of upper floret not completely clasped by lemma	240	
239	Palea of upper floret completely clasped by lemma	241	
240	Spikelet laterally compressed	Dallwatsonia	
240	Spikelet dorsally compressed	Hymenachne	
241	Lower glume minute or absent; spikelet dorsally compressed	Digitaria	
241	Lower glume c. 1/3 spikelet length; spikelet terete or ±laterally compressed	242	
242	Lower glume minute or absent; spikelet dorsally compressed	Digitaria	
242	Spikelet terete or ± laterally compressed	Steinchisma	
243	Rachilla prominent between glumes and between florets	244	
243	Rachilla not prominent between glumes and between florets; fertile florets without appendage at base	247	
244	Rachilla swollen beneath fertile florets and usually with lateral appendages	245	
244	Rachilla not swollen beneath fertile florets and without lateral appendages	246	
245	Appendages fused to base of fertile floret; spikelets laterally compressed, shortly pedicelled	Ichnanthus	
245	Appendages, when present, free from base of fertile floret or absent; spikelets dorsally compressed, long pedicelled	Yakirra	
246	Articulations present at the bases of spikelets, pedicels and inflorescence branches; upper glume 11-nerved	Arthragrostis	
246	Articulations absent on pedicels and inflorescence branches; upper glume 5-7-nerved	Whiteochloa	
247	Inflorescence an open or contracted panicle branched more than once; spikelets not grouped along one side of ultimate branches	248	
247	Inflorescence once branched, the branches digitate or borne on elongated axis; spikelets grouped along one side of branches	255	
248	Glumes slightly unequal in length	249	
248	Glumes very unequal in length	251	
249	Spikelets 4.5-6 mm long, borne at the ends of long branches	Homopholis	
249	Spikelets 0.2-2 mm long, on short branches	250	
250	Upper glume 3-nerved; spikelets falling with glumes and compressed laterally	Cyrtococcum	
250	Upper glume 5-9-nerved; spikelets disarticulating above glumes and compressed dorsally	Isachne	
251	Inflorescence a spike-like panicle	Sacciolepis	
251	Inflorescence an open panicle	252	
252	Upper glumes somewhat shorter than spikelet	Ottochloa	
252	Upper glume as long as spikelet	253	
253	Fertile floret smooth and shiny	Panicum	
253	Fertile floret transversely rugose	254	
254	Culm base bulbous	Zuloagaea	
254	Culm base not bulbous	Megathyrsus	
255	Lower glume absent or represented by a minute scale	256	
255	Lower glume present	257	
256	Lower lemma adjacent to the inflorescence axis	Axonopus	
256	Lower lemma positioned away from the inflorescence axis	Paspalum	
257	Spikelets awnless or mucronate	258	
257	Spikelets distinctly awned	259	
258	Upper lemma rugose and verrucose	Moorochloa	
258	Upper lemma smooth	Urochloa	
259	Glumes more or less equal and similar; decumbent grass of shaded habitats	Oplismenus	
259	Glumes very unequal and dissimilar; erect grass of wet habitats	Echinochloa	
